Config   1 | WITHOUT OT (PLAIN)   |    40.62 sec | ✅
Config   1 | WITH OT              |    31.05 sec | ✅
Config   2 | WITHOUT OT (PLAIN)   |    24.46 sec | ✅
Config   2 | WITH OT              |    39.06 sec | ✅
Config   3 | WITHOUT OT (PLAIN)   |    32.44 sec | ✅
Config   3 | WITH OT              |    25.49 sec | ✅
Config   4 | WITHOUT OT (PLAIN)   |    56.98 sec | ✅
Config   4 | WITH OT              |    37.25 sec | ✅
Config   5 | WITHOUT OT (PLAIN)   |    34.89 sec | ✅
Config   5 | WITH OT              |    32.57 sec | ✅
Config   6 | WITHOUT OT (PLAIN)   |    42.12 sec | ✅
Config   6 | WITH OT              |    31.38 sec | ✅
Config   7 | WITHOUT OT (PLAIN)   |    32.72 sec | ✅
Config   7 | WITH OT              |    37.20 sec | ✅
Config   8 | WITHOUT OT (PLAIN)   |    37.15 sec | ✅
Config   8 | WITH OT              |    39.20 sec | ✅
Config   9 | WITHOUT OT (PLAIN)   |    36.77 sec | ✅
Config   9 | WITH OT              |    30.74 sec | ✅
Config  10 | WITHOUT OT (PLAIN)   |    30.98 sec | ✅
Config  10 | WITH OT              |    35.12 sec | ✅
Config  11 | WITHOUT OT (PLAIN)   |    36.82 sec | ✅
Config  11 | WITH OT              |    37.22 sec | ✅
Config  12 | WITHOUT OT (PLAIN)   |    46.19 sec | ✅
Config  12 | WITH OT              |    33.50 sec | ✅
Config  13 | WITHOUT OT (PLAIN)   |    37.13 sec | ✅
Config  13 | WITH OT              |    39.88 sec | ✅
Config  14 | WITHOUT OT (PLAIN)   |    44.15 sec | ✅
Config  14 | WITH OT              |    39.18 sec | ✅
Config  15 | WITHOUT OT (PLAIN)   |    32.13 sec | ✅
Config  15 | WITH OT              |    32.55 sec | ✅
Config  16 | WITHOUT OT (PLAIN)   |    38.91 sec | ✅
Config  16 | WITH OT              |    31.00 sec | ✅
Config  17 | WITHOUT OT (PLAIN)   |    33.35 sec | ✅
Config  17 | WITH OT              |    30.80 sec | ✅
Config  18 | WITHOUT OT (PLAIN)   |    36.52 sec | ✅
Config  18 | WITH OT              |    39.18 sec | ✅
Config  19 | WITHOUT OT (PLAIN)   |    36.80 sec | ✅
Config  19 | WITH OT              |    33.99 sec | ✅
Config  20 | WITHOUT OT (PLAIN)   |    40.74 sec | ✅
Config  20 | WITH OT              |    44.51 sec | ✅
Config  21 | WITHOUT OT (PLAIN)   |    41.57 sec | ✅
Config  21 | WITH OT              |    35.96 sec | ✅
Config  22 | WITHOUT OT (PLAIN)   |    35.54 sec | ✅
Config  22 | WITH OT              |    38.54 sec | ✅
Config  23 | WITHOUT OT (PLAIN)   |    37.35 sec | ✅
Config  23 | WITH OT              |    30.21 sec | ✅
Config  24 | WITHOUT OT (PLAIN)   |    39.30 sec | ✅
Config  24 | WITH OT              |    39.17 sec | ✅
Config  25 | WITHOUT OT (PLAIN)   |    30.46 sec | ✅
Config  25 | WITH OT              |    21.62 sec | ✅
Config  26 | WITHOUT OT (PLAIN)   |    21.81 sec | ✅
Config  26 | WITH OT              |    20.12 sec | ✅
Config  27 | WITHOUT OT (PLAIN)   |    21.17 sec | ✅
Config  27 | WITH OT              |    21.60 sec | ✅
Config  28 | WITHOUT OT (PLAIN)   |    39.90 sec | ✅
Config  28 | WITH OT              |    33.20 sec | ✅
Config  29 | WITHOUT OT (PLAIN)   |    23.78 sec | ✅
Config  29 | WITH OT              |    25.02 sec | ✅
